DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)_dBm,C_fit,A_contrast_fit,A_pi_fit,Adec_fit
0.6,-93.45281378253098,-97.3543619673577,-95.72398883940042,0.8787036818440743,-93.98801933729219,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.605,-93.43400397047189,-97.21191442510522,-95.79220609492167,0.8667616634590429,-93.98198812759793,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.61,-93.19733561473724,-96.8937903212441,-95.61524290311237,0.8587329172562969,-93.99938694444114,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.615,-93.24410193221084,-97.05029381155651,-95.58202243527035,0.869518983039553,-94.03871808151251,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.62,-93.30340513697935,-96.98309556545546,-95.73384369310051,0.8570642281940535,-94.0968882862285,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.625,-93.2854859182509,-97.21706470592565,-95.53614934918255,0.8815610562445062,-94.16940840820352,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.63,-93.48416503976053,-97.30384573322694,-95.81249170029025,0.8708286737381155,-94.25068451981929,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.635,-93.46220298037856,-97.26356248450514,-95.80357291563134,0.8690489376394501,-94.33440353377623,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.64,-93.48886739398284,-97.1274941407407,-95.95036150920514,0.8529528913119065,-94.41400642912156,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.645,-93.77200362968934,-97.25215616650546,-96.35835711763362,0.8367588101683237,-94.48322515696671,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.65,-93.47952705645163,-97.3451336912351,-95.77556780235949,0.8752618990692398,-94.53663844462945,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.655,-93.26342160323935,-97.0793536506349,-95.59440935355826,0.8704650496320081,-94.57018338469229,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.66,-93.47899282952514,-97.14906503761677,-95.91665928141572,0.8561042996021762,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.665,-93.4264750015094,-97.23445465295808,-95.76312102784703,0.8696927662126116,-94.57040834867037,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.67,-93.50044904983116,-97.13998878535035,-95.96124706492441,0.853044672624694,-94.53839515208777,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.675,-93.66166512750146,-97.51268034386028,-95.9679007116661,0.8738577136101423,-94.48892082932544,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.68,-93.59671677806324,-97.38419857571131,-95.94802953972929,0.867696555786695,-94.42677385989305,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.685,-93.69057525709236,-97.43784912012822,-96.07100604257461,0.8637572347866063,-94.3576223432723,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.6900000000000001,-93.48633678220695,-97.07026958760292,-95.99000740775473,0.8474233593289464,-94.28747299741721,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
