Delay_us,I,Q,Magnitude_linear,Phase_rad,Fit_on_data,A_fit,T2_echo_fit_us,C_fit,p_fit
25.5049,-1.8667380705708677e-06,-2.346263750938168e-06,2.9982769406919513e-06,-2.2428617922403435,3.02455229638812e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
25.75485,-1.7883927196660972e-06,-2.2129713196460986e-06,2.8452751328001472e-06,-2.2504815808057512,3.0245522316196057e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
26.0048,-1.7987832590012123e-06,-2.5426424898322847e-06,3.114586978070053e-06,-2.1865024073270614,3.024552167138862e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
26.25475,-1.8257365039422154e-06,-2.4924261817382134e-06,3.08957959166636e-06,-2.203012001770646,3.0245521029446098e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
26.5047,-1.8188468243636688e-06,-2.4528541209379016e-06,3.053636702212601e-06,-2.20884980151344,3.0245520390355762e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
26.754649999999998,-1.855901059373629e-06,-2.459801882767517e-06,3.0813948212864217e-06,-2.217166178633384,3.024551975410494e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
27.0046,-1.844718655397194e-06,-2.38945294186974e-06,3.018687178059427e-06,-2.228245394388505,3.0245519120681013e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
27.254550000000002,-1.8650457553950098e-06,-2.4545332316563628e-06,3.0827145594463285e-06,-2.2205635985303203,3.024551849007142e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
27.5045,-1.8291641100324075e-06,-2.5369818648576317e-06,3.1276378185536695e-06,-2.195477703621941,3.0245517862263666e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
27.75445,-1.8214389933747273e-06,-2.407009572117446e-06,3.018498813458596e-06,-2.2185861538928515,3.0245517237245292e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
28.0044,-1.8723168726925355e-06,-2.5569979741660565e-06,3.1691969190409223e-06,-2.2028288888172427,3.024551661500391e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
28.25435,-1.8287863129501066e-06,-2.4564394576628628e-06,3.0624425198845225e-06,-2.2107595253189096,3.0245515995527183e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
28.5043,-1.8391339771459537e-06,-2.4634694208094215e-06,3.074263387082473e-06,-2.2120938260080636,3.024551537880282e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
28.75425,-1.8437372622527448e-06,-2.4347300085269644e-06,3.0540591524462912e-06,-2.2189312211909673,3.02455147648186e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
29.0042,-1.8906828556181578e-06,-2.5114271793191025e-06,3.1435566063856933e-06,-2.2161074809356975,3.024551415356235e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
29.25415,-1.863272187698776e-06,-2.4958623862212364e-06,3.1146608637868983e-06,-2.2120822065412535,3.0245513545021937e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
29.5041,-1.8440314439501963e-06,-2.437316424317967e-06,3.0562989576491315e-06,-2.21849707000763,3.0245512939185306e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
29.75405,-1.931112262626027e-06,-2.644122313357529e-06,3.2742292801298733e-06,-2.2015968296380573,3.024551233604044e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
30.003999999999998,-1.973654614438916e-06,-2.5081508123752393e-06,3.1915721885482395e-06,-2.2374959849583256,3.024551173557538e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
