# freq_Hz, phase_rad_detrended, phase_rad
7.145583333333333015e+09,2.395851428051720688e-02,-1.007364495138430094e+01
7.145646666666666985e+09,3.061399745277881834e-02,-1.009085406478760305e+01
7.145710000000000000e+09,-6.265990856668679498e-04,-1.014595925790127851e+01
7.145773333333333015e+09,4.437702579623703514e-02,-1.012482022959426686e+01
7.145836666666666985e+09,3.243914410180082086e-02,-1.016062270786426680e+01
7.145900000000000000e+09,3.200724416366718117e-02,-1.018491920437762666e+01
7.145963333333333015e+09,2.314433313384967050e-02,-1.021764671198267393e+01
7.146026666666666985e+09,1.288082144917446215e-02,-1.025177482024257536e+01
7.146090000000000000e+09,2.840831371456431498e-02,-1.026011192455241527e+01
7.146153333333333015e+09,3.128048099351588007e-02,-1.028110435384868993e+01
7.146216666666666985e+09,1.481759170862950725e-02,-1.032143183970880607e+01
7.146280000000000000e+09,1.709225425065241666e-02,-1.034302177374200937e+01
7.146343333333333015e+09,3.540930177457823902e-02,-1.034856932279331332e+01
7.146406666666666985e+09,1.734395001587962781e-02,-1.039049927112723815e+01
7.146470000000000000e+09,4.593812499772553792e-02,-1.038576969272062200e+01
7.146533333333333015e+09,7.628951564178976241e-03,-1.044794346272939833e+01
7.146596666666666985e+09,1.085472441357282491e-02,-1.046858228645556466e+01
7.146660000000000000e+09,3.637077551358913752e-02,-1.046693083193044416e+01
7.146723333333333015e+09,4.444415365467691004e-03,-1.052272178865379182e+01
7.146786666666666985e+09,9.737850643000811601e-03,-1.054129294995182242e+01
7.146850000000000000e+09,4.844694597639787048e-02,-1.052644845119331762e+01
7.146913333333333015e+09,-4.183963533579415639e-03,-1.060294395727852468e+01
7.146976666666666985e+09,-2.736322384073730518e-04,-1.062289822255891636e+01
7.147040000000000000e+09,3.383268702044439635e-02,-1.061265649987495685e+01
7.147103333333333015e+09,-5.029385897850957576e-03,-1.067538316936847842e+01
7.147166666666666985e+09,1.418083100077360825e-02,-1.068003754904541758e+01
7.147230000000000000e+09,3.326973819175904623e-03,-1.071475600280224505e+01
7.147293333333333015e+09,-4.286844027179270711e-03,-1.074623441722349249e+01
7.147356666666666985e+09,1.805114473486391091e-02,-1.074776102503701303e+01
7.147420000000000000e+09,1.191117877996106245e-02,-1.077776558756714209e+01
7.147483333333333015e+09,6.629857905364744397e-03,-1.080691150501663422e+01
7.147546666666666985e+09,-1.153239503186220816e-02,-1.084893835452942135e+01
7.147610000000000000e+09,-1.979466134542917644e-02,-1.088106521741821808e+01
7.147673333333333015e+09,-1.466220807943230398e-02,-1.089979736072711347e+01
7.147736666666666985e+09,-1.512043847025701382e-02,-1.092412018769350190e+01
7.147800000000000000e+09,-5.850676004901345095e-02,-1.099137110584748811e+01
7.147863333333333015e+09,-1.996707002797393216e-02,-1.097669601240167481e+01
7.147926666666666985e+09,-5.747766669176712639e-02,-1.103807120564069777e+01
7.147990000000000000e+09,-3.064563899642003264e-02,-1.103510377452057689e+01
7.148053333333333015e+09,-7.898687982627450310e-02,-1.110730961192566113e+01
7.148116666666666985e+09,-6.205463219117746121e-02,-1.111424196086579030e+01
7.148180000000000000e+09,-7.952950975164974068e-02,-1.115558143500149235e+01
7.148243333333333015e+09,-8.462570967391513932e-02,-1.118454223149898397e+01
7.148306666666666985e+09,-4.341903445803119155e-02,-1.116720015285832979e+01
7.148370000000000000e+09,-3.232880400876325666e-02,-1.117997451898428807e+01
7.148433333333333015e+09,-1.021957071619592483e-01,-1.127370601871271383e+01
7.148496666666666985e+09,-1.425888495978000492e-01,-1.133796375772411835e+01
7.148560000000000000e+09,-1.238504187198294915e-01,-1.134308992342104006e+01
