PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
3.2535000000000003e-06,3.8108120267126294e-06,3.843392053861375e-06,2.229742874618415,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.27845e-06,3.853684024298848e-06,3.80584874919601e-06,2.2804459716263565,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.3034e-06,3.889259923253365e-06,3.7666567564928268e-06,2.2423406508789254,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.32835e-06,3.945284094448879e-06,3.726066315256883e-06,2.2270823289554604,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.3533e-06,3.5103485873294093e-06,3.6843365940382922e-06,2.2008284207835778,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.3782500000000002e-06,3.743395187931405e-06,3.64173403565008e-06,2.2365236649273195,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.4032000000000003e-06,3.6838252270311695e-06,3.598530655940125e-06,2.2414546497632313,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.42815e-06,3.4593052460188264e-06,3.5550023069794724e-06,2.2208158684986268,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.4531e-06,3.3434601389387915e-06,3.5114269157564803e-06,2.2314382276254383,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.47805e-06,3.5056935404786596e-06,3.4680827096227142e-06,2.2284128516761292,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.503e-06,3.521414097546017e-06,3.4252464398210136e-06,2.2296123753601518,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.5279500000000002e-06,3.308509421204906e-06,3.383191614438476e-06,2.219057235424708,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.5529000000000003e-06,3.3115340391289806e-06,3.342186752066862e-06,2.1936086488376114,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.57785e-06,3.2364827045552015e-06,3.3024936673207673e-06,2.200245646342729,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.6028e-06,3.5223847014031303e-06,3.264365799160448e-06,2.233210611860453,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
